,Title,doi,Type,Categorie,Paper informations,Mail,Final informations,Code source,Script,Share,Comment,Link
Hotnets-2014,Internet at the speed of light,10.1145/2670518.2673876,Paper,Measurement,Partial,Response,,,,.tgz by mail,,
,An information-theoretic approach to routing scalability,10.1145/2670518.2673863,Paper,Theoretical/Analysis,Partial,Send,,,,,,
,Sweet Little Lies: Fake Topologies for Flexible Routing,10.1145/2670518.2673868,Paper,Presentation/Analysis,Partial,Wait,,,,,,
,A Call to arms for management planne analytics,10.1145/2670518.2673883,Paper,Analysis,Partial,Response,Complet,Public,Public,.tgz by mail,Really nice repository with a complete README and clear instruction,
,Intentional Network Monitoring: Finding the Needle without Capturing the Haystack,10.1145/2670518.2673872,Paper,Pratical,Partial,Response,Complet,Public,No need,Github,Nice repository with Makefile which seems take in all usefull action,https://github.com/sdonovan1985/netassay-proto
,,,,,,,,,,,,https://github.com/sdonovan1985/netassay 
,PRAN: Programmable Radio Access Networks,10.1145/2670518.2673865,Paper,Implementation,Partial,Send,,,,,,
,Reclaiming the Brain: Useful OpenFlow Functions in the Data Plane,10.1145/2670518.2673874,Paper,Theoretical,Self contains,,,,,,,
,Characterizing Load Imbalance in Real-World Networked Caches,10.1145/2670518.2673882,Paper,Theoretical,Partial,Response,Irreproductible,Private,Private,,We have no access to the facebook data,
,Toward a Principled Framework to Design Dynamic Adaptive Streaming Algorithms over HTTP,10.1145/2670518.2673877,Paper,Theoretical,Partial,Response,Work in progress,,,,Release in progress,http://users.ece.cmu.edu/~vsekar/mpcdash.html  
,Using Video-Based Measurements to Generate a Real-Time Network Traffic Map ,10.1145/2670518.2673870,Paper,Measurement,Partial,Send,,,,,,
,EONA: Experience-Oriented Network Architecture,10.1145/2670518.2673878,Paper,Design/Management,Self contains,,,,,,,
,FUBAR: Flow Utility Based Routing,10.1145/2670518.2673886,Paper,Theoretical,Partial,Response,Complet,Public,Public,.tgz download on website,Nice repository with a complete README,http://www0.cs.ucl.ac.uk/staff/N.Gvozdiev/blog/html/pages/research.html  
