Conferences, Total, Software referenced in paper, No software required, Authors no reply, Authors reply
Global - Paper, 211.0, 12, 35, 65, 95, 
Global - Poster, 98.0, 9, 49, 23, 17, 
Hotnets-2014 - Paper, 26.0, 1, 7, 4, 14, 
Hotnets-2013 - Paper, 26.0, 2, 8, 8, 7, 
SIGCOMM-2014 - Paper, 45.0, 6, 5, 12, 22, 
SIGCOMM-2014 - Poster, 47.0, 7, 18, 14, 8, 
SIGCOMM-2013 - Paper, 38.0, 0, 8, 13, 16, 
SIGCOMM-2013 - Poster, 51.0, 2, 31, 9, 9, 
CoNEXT-2014 - Paper, 36.0, 1, 3, 16, 16, 
CoNEXT-2013 - Paper, 40.0, 2, 4, 12, 20, 

