Conferences, Total, Give software reference, Work to make public release, Some reference, No reference given
Global - Paper, 95.0, 33, 11, 18, 33, 
Global - Poster, 17.0, 2, 1, 4, 9, 
Hotnets-2014 - Paper, 14.0, 8, 3, 1, 2, 
Hotnets-2013 - Paper, 7.0, 3, 2, 0, 2, 
SIGCOMM-2014 - Paper, 22.0, 10, 1, 2, 9, 
SIGCOMM-2014 - Poster, 8.0, 2, 1, 3, 2, 
SIGCOMM-2013 - Paper, 16.0, 5, 0, 6, 5, 
SIGCOMM-2013 - Poster, 9.0, 0, 0, 1, 7, 
CoNEXT-2014 - Paper, 16.0, 4, 5, 2, 5, 
CoNEXT-2013 - Paper, 20.0, 3, 0, 7, 10, 

